osmid,y,x,street_count,highway,geometry
287950959,51.5346791,-0.9130406,3,,POINT (-0.9130406 51.5346791)
287950960,51.5347247,-0.9128897,1,,POINT (-0.9128897 51.5347247)
287950961,51.5347016,-0.912412,1,,POINT (-0.912412 51.5347016)
287950963,51.5346569,-0.912507,3,,POINT (-0.912507 51.5346569)
287950987,51.5340175,-0.9135023,3,,POINT (-0.9135023 51.5340175)
287951018,51.5342276,-0.913852,3,,POINT (-0.913852 51.5342276)
287951025,51.5342673,-0.9137502,1,,POINT (-0.9137502 51.5342673)
287951026,51.5341912,-0.9139455,1,,POINT (-0.9139455 51.5341912)
287951036,51.5344638,-0.9111148,3,,POINT (-0.9111148 51.5344638)
287951039,51.534154,-0.9115586,3,,POINT (-0.9115586 51.534154)
287951041,51.5338051,-0.9112611,4,,POINT (-0.9112611 51.5338051)
287951042,51.5337516,-0.911237,1,,POINT (-0.911237 51.5337516)
287951043,51.5346002,-0.9109191,3,,POINT (-0.9109191 51.5346002)
287951045,51.533973,-0.9104582,3,,POINT (-0.9104582 51.533973)
287951046,51.5340546,-0.9105044,3,,POINT (-0.9105044 51.5340546)
287951047,51.5340302,-0.9106043,1,,POINT (-0.9106043 51.5340302)
287951048,51.534948,-0.9103329,3,,POINT (-0.9103329 51.534948)
